Country/Region,Region,Measure,Avg_Value,Date Range
Argentina,The Americas,Mobile Phone Usage,0.804153846153846,Data between 2000 and 2012 for Argentina in The Americas.
Argentina,The Americas,Population 0-14,0.260615384615385,Data between 2000 and 2012 for Argentina in The Americas.
Argentina,The Americas,Population 15-64,0.635769230769231,Data between 2000 and 2012 for Argentina in The Americas.
Argentina,The Americas,Population 65+,0.103230769230769,Data between 2000 and 2012 for Argentina in The Americas.
Argentina,The Americas,Population Total,38995454.6153846,Data between 2000 and 2012 for Argentina in The Americas.
Argentina,The Americas,Population Urban,0.902384615384615,Data between 2000 and 2012 for Argentina in The Americas.
Argentina,The Americas,Tourism Inbound,3987692307.69231,Data between 2000 and 2012 for Argentina in The Americas.
Argentina,The Americas,Tourism Outbound,5057307692.30769,Data between 2000 and 2012 for Argentina in The Americas.
Armenia,Asia,Birth Rate,1.37692307692308e-02,Data between 2000 and 2012 for Armenia in Asia.
Armenia,Asia,Business Tax Rate,0.38175,Data between 2000 and 2012 for Armenia in Asia.
Armenia,Asia,CO2 Emissions,4096.81818181818,Data between 2000 and 2012 for Armenia in Asia.
Armenia,Asia,Days to Start Business,14.9,Data between 2000 and 2012 for Armenia in Asia.
Armenia,Asia,Ease of Business,40,Data between 2000 and 2012 for Armenia in Asia.
Armenia,Asia,Energy Usage,2392.5,Data between 2000 and 2012 for Armenia in Asia.
Armenia,Asia,GDP,6380928046.61539,Data between 2000 and 2012 for Armenia in Asia.
Armenia,Asia,Health Exp % GDP,4.92307692307692e-02,Data between 2000 and 2012 for Armenia in Asia.
Armenia,Asia,Health Exp/Capita,96.4615384615385,Data between 2000 and 2012 for Armenia in Asia.
Armenia,Asia,Hours to do Tax,545.5,Data between 2000 and 2012 for Armenia in Asia.
Armenia,Asia,Infant Mortality Rate,2.01538461538462e-02,Data between 2000 and 2012 for Armenia in Asia.
Armenia,Asia,Internet Usage,0.114615384615385,Data between 2000 and 2012 for Armenia in Asia.
Armenia,Asia,Lending Interest,0.200615384615385,Data between 2000 and 2012 for Armenia in Asia.
Armenia,Asia,Life Expectancy Female,76.7692307692308,Data between 2000 and 2012 for Armenia in Asia.
Armenia,Asia,Life Expectancy Male,69.9230769230769,Data between 2000 and 2012 for Armenia in Asia.
Armenia,Asia,Mobile Phone Usage,0.463307692307692,Data between 2000 and 2012 for Armenia in Asia.
Armenia,Asia,Population 0-14,0.221384615384615,Data between 2000 and 2012 for Armenia in Asia.
Armenia,Asia,Population 15-64,0.669615384615385,Data between 2000 and 2012 for Armenia in Asia.
Armenia,Asia,Population 65+,0.108923076923077,Data between 2000 and 2012 for Armenia in Asia.
Armenia,Asia,Population Total,3007291.76923077,Data between 2000 and 2012 for Armenia in Asia.
Armenia,Asia,Population Urban,0.640307692307692,Data between 2000 and 2012 for Armenia in Asia.
Armenia,Asia,Tourism Inbound,274000000,Data between 2000 and 2012 for Armenia in Asia.
Armenia,Asia,Tourism Outbound,291769230.769231,Data between 2000 and 2012 for Armenia in Asia.
